year,age,zero,one,two,three,four
1959.0,24,0.65,0.18,0.13,0.03,0.01
1960.0,24,0.66,0.17,0.13,0.03,0.01
1961.0,24,0.67,0.17,0.12,0.03,0.01
1962.0,24,0.6732673267326733,0.16831683168316833,0.1188118811881188,0.0297029702970297,0.009900990099009901
1963.0,24,0.69,0.16,0.11,0.03,0.01
1964.0,24,0.7,0.16,0.1,0.03,0.01
1964.0,24,0.7,0.16,0.1,0.03,0.01
1965.0,24,0.7,0.16,0.1,0.03,0.01
1966.0,24,0.7,0.16,0.1,0.03,0.01
1967.0,24,0.69,0.17,0.1,0.03,0.01
1968.0,24,0.69,0.17,0.1,0.03,0.01
1969.0,24,0.69,0.17,0.1,0.03,0.01
1969.0,24,0.69,0.17,0.1,0.03,0.01
1970.0,24,0.69,0.17,0.1,0.03,0.01
1971.0,24,0.7,0.17,0.09,0.03,0.01
1972.0,24,0.7029702970297029,0.16831683168316833,0.0891089108910891,0.0297029702970297,0.009900990099009901
1973.0,24,0.72,0.16,0.09,0.02,0.01
1974.0,24,0.72,0.16,0.09,0.02,0.01
1974.0,24,0.72,0.16,0.09,0.02,0.01
1975.0,24,0.72,0.16,0.09,0.02,0.01
1976.0,24,0.72,0.16,0.09,0.02,0.01
1977.0,24,0.72,0.16,0.09,0.02,0.01
1978.0,24,0.72,0.16,0.09,0.02,0.01
1979.0,24,0.72,0.17,0.09,0.02,0.0
1979.0,24,0.72,0.17,0.09,0.02,0.0
1980.0,24,0.7272727272727273,0.16161616161616163,0.09090909090909091,0.020202020202020204,0.0
1981.0,24,0.72,0.17,0.09,0.02,0.0
1982.0,24,0.7272727272727273,0.16161616161616163,0.09090909090909091,0.020202020202020204,0.0
1983.0,24,0.7272727272727273,0.16161616161616163,0.09090909090909091,0.020202020202020204,0.0
1984.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1984.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1985.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1986.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1987.0,24,0.7272727272727273,0.15151515151515152,0.10101010101010101,0.020202020202020204,0.0
1988.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1989.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1989.0,24,0.7373737373737373,0.15151515151515152,0.09090909090909091,0.020202020202020204,0.0
1990.0,24,0.75,0.14,0.09,0.02,0.0
1991.0,24,0.77,0.13,0.08,0.02,0.0
1992.0,24,0.78,0.12,0.08,0.02,0.0
1993.0,24,0.797979797979798,0.1111111111111111,0.0707070707070707,0.020202020202020204,0.0
1994.0,24,0.801980198019802,0.10891089108910891,0.06930693069306931,0.019801980198019802,0.0
